,op1,op2,op3,5-GM Avg Op1,5-GM Avg Op2,5-GM Avg Op3
0,100.0,0.0,0.0,,,
1,100.0,50.0,50.0,,,
2,66.66666666666666,66.66666666666666,33.33333333333333,,,
3,50.0,75.0,25.0,,,
4,40.0,60.0,40.0,71.33333333333333,50.33333333333333,29.666666666666664
5,50.0,50.0,33.33333333333333,61.33333333333333,60.33333333333333,36.33333333333333
6,57.14285714285714,42.857142857142854,42.857142857142854,52.76190476190476,58.904761904761905,34.904761904761905
7,62.5,50.0,37.5,51.92857142857142,55.57142857142857,35.73809523809524
8,66.66666666666666,44.44444444444444,33.33333333333333,55.26190476190476,49.460317460317455,37.404761904761905
9,70.0,50.0,40.0,61.26190476190476,47.460317460317455,37.404761904761905
10,63.63636363636363,45.45454545454545,36.36363636363637,63.989177489177486,46.55122655122655,38.01082251082251
11,66.66666666666666,50.0,33.33333333333333,65.89393939393938,47.97979797979798,36.1060606060606
12,69.23076923076923,53.84615384615385,38.46153846153847,67.24009324009323,48.749028749028746,36.298368298368295
13,64.28571428571429,50.0,35.714285714285715,66.76390276390276,49.86013986013986,36.77455877455878
14,60.0,53.333333333333336,33.33333333333333,64.76390276390276,50.52680652680653,35.44122544122544
15,56.25,50.0,31.25,63.28663003663004,51.43589743589744,34.41849816849817
16,52.94117647058824,47.05882352941176,35.294117647058826,60.541531997414346,50.84766214177979,34.810655031243265
17,50.0,44.44444444444444,33.33333333333333,56.6953781512605,48.967320261437905,33.785014005602235
18,52.63157894736842,47.368421052631575,31.57894736842105,54.36455108359134,48.44100447196422,32.95794633642931
19,50.0,50.0,35.0,52.36455108359134,47.774337805297556,33.29127966976264
20,52.38095238095239,47.61904761904761,38.095238095238095,51.59074155978182,47.298147329107074,34.66032728881026
21,54.54545454545454,50.0,36.36363636363637,51.91159717475507,47.88638262322472,34.87423103212576
22,56.52173913043478,52.17391304347826,34.78260869565217,53.21594500084202,49.43227634303149,35.164086104589536
23,58.333333333333336,50.0,37.5,54.356295878035006,49.95859213250518,36.348296630905324
24,56.00000000000001,52.0,36.0,55.55629587803501,50.35859213250518,36.54829663090533
25,53.84615384615385,50.0,38.46153846153847,55.8493361710753,50.83478260869565,36.6215567041654
26,55.55555555555556,51.85185185185185,40.74074074074074,56.05135637309551,51.20515297906602,37.49697757958627
27,57.14285714285714,53.57142857142857,39.285714285714285,56.17557997557998,51.48465608465608,38.397598697598696
